Category,Caption
adventure,"""Adventure is out there."" — Up"
adventure,"""Wanderlust: a desire to travel, to understand one's very existence."""
adventure,"""I do believe it's time for another adventure."""
adventure,"""Find a beautiful place, and get lost."""
adventure,"""Oh darling, let's be adventurers."""
adventure,"""My favorite thing is going on adventures with you."""
adventure,"""Committed to a life full of adventure."""
adventure,"""Go. Fly. Roam. Travel. Voyage. Explore. Journey. Discover. Adventure."""
adventure,"""Adventuring with the best."""
adventure,"""Adventure is worthwhile."" — Aesop"
art and music,Every artist was first an amateur.
art and music,To be an artist is to believe in life.
art and music,The world always seems brighter when you’ve just made something that wasn’t there before.
art and music,To draw you must close your eyes and sing.
art and music,"Art is a collaboration between God and the artist, and the less the artist does, the better."
art and music,"The music is not in the notes, but in the silence between."
art and music,"Music is a beautiful thing to listen to. It is not a thing to preach to others about, it’s not a cause. It is what it is-and that’s a beautiful artform."
art and music,"Music is a labyrinth with no beginning and no end, full of new paths to discover, where mystery remains eternal"
art and music,"Emo always meant emotional. Any kind of art or music should be emotional. If its not, than it's pretty much just a jingle selling bleach or pizza."
art and music,Music is the art which is most nigh to tears and memories.
food,"I lost some weight once, but I found it again in the fridge."
food,"I love pizza. I want to marry it, but it would just be to eat her family at the wedding."
food,I just want someone to look at me the way I look at food.
food,Sorry—I’m in a relationship. With food.
food,"Sugar, spice, and everything nice."
food,My milkshake brings all the boys to the yard.
food,Home is wherever I’m with food.
food,"“If we shake out all of the crumbs from all of the keyboards in the world, we can end world hunger.”—Matthew Dolkart"
food,Let food be thy medicine and medicine be thy food.
food,Donut kill my vibe.
history,We are not makers of history. We are made by history.
history,History is not a burden on the memory but an illumination of the soul.
history,"Following the light of the sun, we left the Old World."
history,History will be kind to me for I intend to write it.
history,I like the dreams of the future better than the history of the past.
history,"I came, I saw, I conquered."
history,History is a set of lies agreed upon.
history,"If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse and you say that you are neutral, the mouse will not appreciate your neutrality."
history,Those who do not remember the past are condemned to repeat it.
history,"Our greatest glory is not in never falling, but in rising every time we fall."
manufacturing,Good design is obvious. Great design is transparent.
manufacturing,The key is not to prioritize what’s on your schedule but to schedule your priorities.
manufacturing,"If you need a new process and don’t install it, you pay for it without getting it."
manufacturing,"Manufacturing is finite, but human intellect is infinite. Textile is all about manufacturing, and industries like pharmaceuticals are all about human intellect."
manufacturing,Quality means doing it right when no one is looking.
manufacturing,There is nothing so useless as doing efficiently that which should not be done at all.
manufacturing,"Sometimes, no problem is a sign of a different problem."
manufacturing,"Lean is about constant ticking, not occasional kicking."
manufacturing,"Perfection is not attainable. But if we chase perfection, we can catch excellence."
manufacturing,Continuous improvement is better than delayed perfection.
nature,"Study nature, love nature, stay close to nature. It will never fail you."
nature,"The Sea, once it casts its spell, holds one in its net of wonder forever."
nature,"If you truly love nature, you will find beauty everywhere. "
nature,"I felt my lungs inflate with the onrush of scenery — air, mountains, trees, people. I thought, ‘This is what it is to be happy."
nature,"For a time, I rest in the grace of the world, and am free."
nature,I like this place and could willingly waste my time in it. 
nature,The earth laughs in flowers. 
nature,The Earth is what we all have in common.
nature,"I don’t like formal gardens. I like wild nature. It’s just the wilderness instinct to me, I guess."
nature,Adopt the pace of nature: her secret is patience.
science and technology,The intelligent use of science and technology are the tools with which to achieve a new direction.
science and technology,"Science and technology can solve all the world’s problems, and historically it has been shown to make the world better and better."
science and technology,The science of today is the technology of tomorrow.
science and technology,Science can never solve one problem without raising ten more problems.
science and technology,One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.
science and technology,The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.
science and technology,It has become appallingly obvious that our technology has exceeded our humanity.
science and technology,"The scientist is not a person who gives the right answers, he is one who asks the right questions."
science and technology,Science is the great antidote to the poison of enthusiasm and superstition.
science and technology,Our scientific power has outrun our spiritual power. We have guided missiles and misguided men.
sports,The difference between the impossible and the possible lies in a person’s determination.
sports,You were born to be a player. You were meant to be here. This moment is yours.
sports,"The more difficult the victory, the greater the happiness in winning."
sports,Overpower. Overtake. Overcome.
sports,The only way to prove that you’re a good sport is to lose.
sports,It’s not whether you get knocked down; it’s whether you get up.
sports,Persistence can change failure into extraordinary achievement.
sports,Never let the fear of striking out get in your way.
sports,I’d rather regret the risks that didn’t work out than the chances I didn’t take at all.
sports,A trophy carries dust. Memories last forever.
travel,I’ve found my happy place.
travel,What’s on my bucket list? Everywhere.
travel,"Take only pictures, leave only footprints."
travel,Always say yes to new adventures.
travel,Life is short and the world is wide. I better get started.
travel,My new routine: Journey. Explore. Discover. Repeat.
travel,Only going places that spark joy.
travel,Keep calm and travel on.
travel,Will travel for food (and a good sunset).
travel,The best things happen outside of our comfort zones.
